# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
E68AAA	62AA				抪	 &#25258;
E68AAB	62AB	94E2	C8E4	4864	披	 &#25259;
E68AAC	62AC	9DAB	DAAD	5A2D	抬	 &#25260;
E68AAD	62AD				抭	 &#25261;
E68AAE	62AE				抮	 &#25262;
E68AAF	62AF				抯	 &#25263;
E68AB0	62B0				抰	 &#25264;
E68AB1	62B1	95F8	CAFA	4A7A	抱	 &#25265;
E68AB2	62B2				抲	 &#25266;
E68AB3	62B3		8FBFCB	443F4B	抳	 &#25267;
E68AB4	62B4				抴	 &#25268;
E68AB5	62B5	92EF	C4F1	4471	抵	 &#25269;
E68AB6	62B6		8FBFCC	443F4C	抶	 &#25270;
E68AB7	62B7		8FBFCD	443F4D	抷	 &#25271;
E68AB8	62B8				抸	 &#25272;
E68AB9	62B9	9695	CBF5	4B75	抹	 &#25273;
E68ABA	62BA		8FBFCE	443F4E	抺	 &#25274;
E68ABB	62BB	9D5A	D9BB	593B	抻	 &#25275;
E68ABC	62BC	899F	B2A1	3221	押	 &#25276;
E68ABD	62BD	928A	C3EA	436A	抽	 &#25277;
E68ABE	62BE		8FBFCF	443F4F	抾	 &#25278;
E68ABF	62BF		8FBFD0	443F50	抿	 &#25279;
E68B80	62C0				拀	 &#25280;
E68B81	62C1				拁	 &#25281;
E68B82	62C2	9D63	D9C4	5944	拂	 &#25282;
E68B83	62C3				拃	 &#25283;
E68B84	62C4		8FBFD1	443F51	拄	 &#25284;
E68B85	62C5	9253	C3B4	4334	担	 &#25285;
E68B86	62C6	9D5D	D9BE	593E	拆	 &#25286;
E68B87	62C7	9D64	D9C5	5945	拇	 &#25287;
E68B88	62C8	9D5F	D9C0	5940	拈	 &#25288;
E68B89	62C9	9D66	D9C7	5947	拉	 &#25289;
E68B8A	62CA	9D62	D9C3	5943	拊	 &#25290;
E68B8B	62CB				拋	 &#25291;
E68B8C	62CC	9D61	D9C2	5942	拌	 &#25292;
E68B8D	62CD	948F	C7EF	476F	拍	 &#25293;
E68B8E	62CE		8FBFD2	443F52	拎	 &#25294;
E68B8F	62CF	9D5B	D9BC	593C	拏	 &#25295;
E68B90	62D0	89FB	B2FD	327D	拐	 &#25296;
E68B91	62D1	9D59	D9BA	593A	拑	 &#25297;
E68B92	62D2	8B91	B5F1	3571	拒	 &#25298;
E68B93	62D3	91F1	C2F3	4273	拓	 &#25299;
E68B94	62D4	9D55	D9B6	5936	拔	 &#25300;
E68B95	62D5		8FBFD3	443F53	拕	 &#25301;
E68B96	62D6		8FBFD4	443F54	拖	 &#25302;
E68B97	62D7	9D58	D9B9	5939	拗	 &#25303;
E68B98	62D8	8D53	B9B4	3934	拘	 &#25304;
E68B99	62D9	90D9	C0DB	405B	拙	 &#25305;
E68B9A	62DA		8FBFD5	443F55	拚	 &#25306;
E68B9B	62DB	8FB5	BEB7	3E37	招	 &#25307;
E68B9C	62DC	9D60	D9C1	5941	拜	 &#25308;
E68B9D	62DD	9471	C7D2	4752	拝	 &#25309;
E68B9E	62DE				拞	 &#25310;
E68B9F	62DF				拟	 &#25311;
E68BA0	62E0	8B92	B5F2	3572	拠	 &#25312;
E68BA1	62E1	8A67	B3C8	3348	拡	 &#25313;
E68BA2	62E2				拢	 &#25314;
E68BA3	62E3				拣	 &#25315;
E68BA4	62E4				拤	 &#25316;
E68BA5	62E5				拥	 &#25317;
E68BA6	62E6				拦	 &#25318;
E68BA7	62E7				拧	 &#25319;
E68BA8	62E8				拨	 &#25320;
E68BA9	62E9				择	 &#25321;
E68BAA	62EA		8FBFD6	443F56	拪	 &#25322;
E68BAB	62EB				拫	 &#25323;
E68BAC	62EC	8A87	B3E7	3367	括	 &#25324;
E68BAD	62ED	9040	BFA1	3F21	拭	 &#25325;
E68BAE	62EE	9D68	D9C9	5949	拮	 &#25326;
E68BAF	62EF	9D6D	D9CE	594E	拯	 &#25327;
E68BB0	62F0				拰	 &#25328;
E68BB1	62F1	9D69	D9CA	594A	拱	 &#25329;
E68BB2	62F2		8FBFD7	443F57	拲	 &#25330;
E68BB3	62F3	8C9D	B7FD	377D	拳	 &#25331;
E68BB4	62F4		8FBFD8	443F58	拴	 &#25332;
E68BB5	62F5	9D6E	D9CF	594F	拵	 &#25333;
E68BB6	62F6	8E41	BBA2	3B22	拶	 &#25334;
E68BB7	62F7	8D89	B9E9	3969	拷	 &#25335;
E68BB8	62F8				拸	 &#25336;
E68BB9	62F9				拹	 &#25337;
E68BBA	62FA				拺	 &#25338;
E68BBB	62FB				拻	 &#25339;
E68BBC	62FC		8FBFD9	443F59	拼	 &#25340;
E68BBD	62FD		8FBFDA	443F5A	拽	 &#25341;
E68BBE	62FE	8F45	BDA6	3D26	拾	 &#25342;
E68BBF	62FF	9D5C	D9BD	593D	拿	 &#25343;
E68C80	6300				挀	 &#25344;
E68C81	6301	8E9D	BBFD	3B7D	持	 &#25345;
E68C82	6302	9D6B	D9CC	594C	挂	 &#25346;
E68C83	6303		8FBFDB	443F5B	挃	 &#25347;
E68C84	6304		8FBFDC	443F5C	挄	 &#25348;
E68C85	6305				挅	 &#25349;
E68C86	6306				挆	 &#25350;
E68C87	6307	8E77	BBD8	3B58	指	 &#25351;
E68C88	6308	9D6C	D9CD	594D	挈	 &#25352;
E68C89	6309	88C2	B0C4	3044	按	 &#25353;
E68C8A	630A		8FBFDD	443F5D	挊	 &#25354;
E68C8B	630B		8FBFDE	443F5E	挋	 &#25355;
E68C8C	630C	9D67	D9C8	5948	挌	 &#25356;
E68C8D	630D		8FBFDF	443F5F	挍	 &#25357;
E68C8E	630E				挎	 &#25358;
E68C8F	630F				挏	 &#25359;
E68C90	6310		8FBFE0	443F60	挐	 &#25360;
E68C91	6311	92A7	C4A9	4429	挑	 &#25361;
E68C92	6312				挒	 &#25362;
E68C93	6313		8FBFE1	443F61	挓	 &#25363;
E68C94	6314				挔	 &#25364;
E68C95	6315				挕	 &#25365;
E68C96	6316		8FBFE2	443F62	挖	 &#25366;
E68C97	6317				挗	 &#25367;
E68C98	6318		8FBFE3	443F63	挘	 &#25368;
E68C99	6319	8B93	B5F3	3573	挙	 &#25369;
E68C9A	631A				挚	 &#25370;
E68C9B	631B				挛	 &#25371;
E68C9C	631C				挜	 &#25372;
E68C9D	631D				挝	 &#25373;
E68C9E	631E				挞	 &#25374;
E68C9F	631F	8BB2	B6B4	3634	挟	 &#25375;
E68CA0	6320				挠	 &#25376;
E68CA1	6321				挡	 &#25377;
E68CA2	6322				挢	 &#25378;
E68CA3	6323				挣	 &#25379;
E68CA4	6324				挤	 &#25380;
E68CA5	6325				挥	 &#25381;
E68CA6	6326				挦	 &#25382;
E68CA7	6327	9D6A	D9CB	594B	挧	 &#25383;
E68CA8	6328	88A5	B0A7	3027	挨	 &#25384;
E68CA9	6329		8FBFE4	443F64	挩	 &#25385;
E68CAA	632A		8FBFE5	443F65	挪	 &#25386;
E68CAB	632B	8DC1	BAC3	3A43	挫	 &#25387;
E68CAC	632C				挬	 &#25388;
E68CAD	632D		8FBFE6	443F66	挭	 &#25389;
E68CAE	632E				挮	 &#25390;
E68CAF	632F	9055	BFB6	3F36	振	 &#25391;
E68CB0	6330				挰	 &#25392;
E68CB1	6331				挱	 &#25393;
E68CB2	6332				挲	 &#25394;
E68CB3	6333				挳	 &#25395;
E68CB4	6334				挴	 &#25396;
E68CB5	6335		8FBFE7	443F67	挵	 &#25397;
E68CB6	6336		8FBFE8	443F68	挶	 &#25398;
E68CB7	6337				挷	 &#25399;
E68CB8	6338				挸	 &#25400;
E68CB9	6339		8FBFE9	443F69	挹	 &#25401;
E68CBA	633A	92F0	C4F2	4472	挺	 &#25402;
E68CBB	633B				挻	 &#25403;
E68CBC	633C		8FBFEA	443F6A	挼	 &#25404;
E68CBD	633D	94D2	C8D4	4854	挽	 &#25405;
E68CBE	633E	9D70	D9D1	5951	挾	 &#25406;
E68CBF	633F	917D	C1DE	415E	挿	 &#25407;
E68D80	6340				捀	 &#25408;
E68D81	6341		8FBFEB	443F6B	捁	 &#25409;
E68D82	6342		8FBFEC	443F6C	捂	 &#25410;
E68D83	6343		8FBFED	443F6D	捃	 &#25411;
E68D84	6344		8FBFEE	443F6E	捄	 &#25412;
E68D85	6345				捅	 &#25413;
E68D86	6346		8FBFEF	443F6F	捆	 &#25414;
E68D87	6347				捇	 &#25415;
E68D88	6348				捈	 &#25416;
E68D89	6349	91A8	C2AA	422A	捉	 &#25417;
E68D8A	634A		8FBFF0	443F70	捊	 &#25418;
E68D8B	634B		8FBFF1	443F71	捋	 &#25419;
E68D8C	634C	8E4A	BBAB	3B2B	捌	 &#25420;
E68D8D	634D	9D71	D9D2	5952	捍	 &#25421;
E68D8E	634E		8FBFF2	443F72	捎	 &#25422;
E68D8F	634F	9D73	D9D4	5954	捏	 &#25423;
E68D90	6350	9D6F	D9D0	5950	捐	 &#25424;
E68D91	6351				捑	 &#25425;
E68D92	6352		8FBFF3	443F73	捒	 &#25426;
E68D93	6353		8FBFF4	443F74	捓	 &#25427;
E68D94	6354		8FBFF5	443F75	捔	 &#25428;
E68D95	6355	95DF	CAE1	4A61	捕	 &#25429;
E68D96	6356				捖	 &#25430;
E68D97	6357	92BB	C4BD	443D	捗	 &#25431;
E68D98	6358		8FBFF6	443F76	捘	 &#25432;
E68D99	6359				捙	 &#25433;
E68D9A	635A				捚	 &#25434;
E68D9B	635B		8FBFF7	443F77	捛	 &#25435;
E68D9C	635C	917B	C1DC	415C	捜	 &#25436;
E68D9D	635D				捝	 &#25437;
E68D9E	635E				捞	 &#25438;
E68D9F	635F				损	 &#25439;
E68DA0	6360				捠	 &#25440;
E68DA1	6361				捡	 &#25441;
E68DA2	6362				换	 &#25442;
E68DA3	6363				捣	 &#25443;
E68DA4	6364				捤	 &#25444;
E68DA5	6365		8FBFF8	443F78	捥	 &#25445;
E68DA6	6366		8FBFF9	443F79	捦	 &#25446;
E68DA7	6367	95F9	CAFB	4A7B	捧	 &#25447;
E68DA8	6368	8ECC	BCCE	3C4E	捨	 &#25448;
E68DA9	6369	9D80	D9E0	5960	捩	 &#25449;
E68DAA	636A				捪	 &#25450;
E68DAB	636B	9D7E	D9DF	595F	捫	 &#25451;
E68DAC	636C		8FBFFA	443F7A	捬	 &#25452;
E68DAD	636D		8FBFFB	443F7B	捭	 &#25453;
E68DAE	636E	9098	BFF8	3F78	据	 &#25454;
E68DAF	636F				捯	 &#25455;
E68DB0	6370				捰	 &#25456;
E68DB1	6371		8FBFFC	443F7C	捱	 &#25457;
E68DB2	6372	8C9E	B7FE	377E	捲	 &#25458;
E68DB3	6373				捳	 &#25459;
E68DB4	6374		8FBFFD	443F7D	捴	 &#25460;
E68DB5	6375		8FBFFE	443F7E	捵	 &#25461;
E68DB6	6376	9D78	D9D9	5959	捶	 &#25462;
E68DB7	6377	8FB7	BEB9	3E39	捷	 &#25463;
E68DB8	6378		8FC0A1	444021	捸	 &#25464;
E68DB9	6379				捹	 &#25465;
E68DBA	637A	93E6	C6E8	4668	捺	 &#25466;
E68DBB	637B	9450	C7B1	4731	捻	 &#25467;
E68DBC	637C		8FC0A2	444022	捼	 &#25468;
E68DBD	637D		8FC0A3	444023	捽	 &#25469;
E68DBE	637E				捾	 &#25470;
E68DBF	637F		8FC0A4	444024	捿	 &#25471;
E68E80	6380	9D76	D9D7	5957	掀	 &#25472;
E68E81	6381				掁	 &#25473;
E68E82	6382		8FC0A5	444025	掂	 &#25474;
E68E83	6383	917C	C1DD	415D	掃	 &#25475;
E68E84	6384		8FC0A6	444026	掄	 &#25476;
E68E85	6385				掅	 &#25477;
E68E86	6386				掆	 &#25478;
E68E87	6387		8FC0A7	444027	掇	 &#25479;
E68E88	6388	8EF6	BCF8	3C78	授	 &#25480;
E68E89	6389	9D7B	D9DC	595C	掉	 &#25481;
E68E8A	638A		8FC0A8	444028	掊	 &#25482;
E68E8B	638B				掋	 &#25483;
E68E8C	638C	8FB6	BEB8	3E38	掌	 &#25484;
E68E8D	638D				掍	 &#25485;
E68E8E	638E	9D75	D9D6	5956	掎	 &#25486;
E68E8F	638F	9D7A	D9DB	595B	掏	 &#25487;
E68E90	6390		8FC0A9	444029	掐	 &#25488;
E68E91	6391				掑	 &#25489;
E68E92	6392	9472	C7D3	4753	排	 &#25490;
E68E93	6393				掓	 &#25491;
E68E94	6394		8FC0AA	44402A	掔	 &#25492;
E68E95	6395		8FC0AB	44402B	掕	 &#25493;
E68E96	6396	9D74	D9D5	5955	掖	 &#25494;
E68E97	6397				掗	 &#25495;
E68E98	6398	8C40	B7A1	3721	掘	 &#25496;
E68E99	6399		8FC0AC	44402C	掙	 &#25497;
E68E9A	639A		8FC0AD	44402D	掚	 &#25498;
E68E9B	639B	8A7C	B3DD	335D	掛	 &#25499;
E68E9C	639C				掜	 &#25500;
E68E9D	639D				掝	 &#25501;
E68E9E	639E		8FC0AE	44402E	掞	 &#25502;
E68E9F	639F	9D7C	D9DD	595D	掟	 &#25503;
E68EA0	63A0	97A9	CEAB	4E2B	掠	 &#25504;
E68EA1	63A1	8DCC	BACE	3A4E	採	 &#25505;
E68EA2	63A2	9254	C3B5	4335	探	 &#25506;
E68EA3	63A3	9D79	D9DA	595A	掣	 &#25507;
E68EA4	63A4		8FC0AF	44402F	掤	 &#25508;
E68EA5	63A5	90DA	C0DC	405C	接	 &#25509;
E68EA6	63A6		8FC0B0	444030	掦	 &#25510;
E68EA7	63A7	8D54	B9B5	3935	控	 &#25511;
E68EA8	63A8	9084	BFE4	3F64	推	 &#25512;
E68EA9	63A9	8986	B1E6	3166	掩	 &#25513;
E68EAA	63AA	915B	C1BC	413C	措	 &#25514;
E68EAB	63AB	9D77	D9D8	5958	掫	 &#25515;
E68EAC	63AC	8B64	B5C5	3545	掬	 &#25516;
E68EAD	63AD		8FC0B1	444031	掭	 &#25517;
E68EAE	63AE		8FC0B2	444032	掮	 &#25518;
E68EAF	63AF		8FC0B3	444033	掯	 &#25519;
E68EB0	63B0				掰	 &#25520;
E68EB1	63B1				掱	 &#25521;
E68EB2	63B2	8C66	B7C7	3747	掲	 &#25522;
E68EB3	63B3				掳	 &#25523;
E68EB4	63B4	92CD	C4CF	444F	掴	 &#25524;
E68EB5	63B5	9D7D	D9DE	595E	掵	 &#25525;
E68EB6	63B6				掶	 &#25526;
E68EB7	63B7				掷	 &#25527;
E68EB8	63B8				掸	 &#25528;
E68EB9	63B9				掹	 &#25529;
E68EBA	63BA				掺	 &#25530;
E68EBB	63BB	917E	C1DF	415F	掻	 &#25531;
E68EBC	63BC				掼	 &#25532;
E68EBD	63BD		8FC0B4	444034	掽	 &#25533;
E68EBE	63BE	9D81	D9E1	5961	掾	 &#25534;
E68EBF	63BF				掿	 &#25535;
E68F80	63C0	9D83	D9E3	5963	揀	 &#25536;
E68F81	63C1		8FC0B5	444035	揁	 &#25537;
E68F82	63C2				揂	 &#25538;
E68F83	63C3	91B5	C2B7	4237	揃	 &#25539;
E68F84	63C4	9D89	D9E9	5969	揄	 &#25540;
E68F85	63C5		8FC0B6	444036	揅	 &#25541;
E68F86	63C6	9D84	D9E4	5964	揆	 &#25542;
E68F87	63C7				揇	 &#25543;
E68F88	63C8		8FC0B7	444037	揈	 &#25544;
E68F89	63C9	9D86	D9E6	5966	揉	 &#25545;
E68F8A	63CA				揊	 &#25546;
E68F8B	63CB				揋	 &#25547;
E68F8C	63CC				揌	 &#25548;
E68F8D	63CD				揍	 &#25549;
E68F8E	63CE		8FC0B8	444038	揎	 &#25550;
E68F8F	63CF	9560	C9C1	4941	描	 &#25551;
E68F90	63D0	92F1	C4F3	4473	提	 &#25552;
E68F91	63D1		8FC0B9	444039	揑	 &#25553;
E68F92	63D2	9D87	D9E7	5967	插	 &#25554;
E68F93	63D3		8FC0BA	44403A	揓	 &#25555;
E68F94	63D4		8FC0BB	44403B	揔	 &#25556;
E68F95	63D5		8FC0BC	44403C	揕	 &#25557;
E68F96	63D6	974B	CDAC	4D2C	揖	 &#25558;
E68F97	63D7				揗	 &#25559;
E68F98	63D8				揘	 &#25560;
E68F99	63D9				揙	 &#25561;
E68F9A	63DA	9767	CDC8	4D48	揚	 &#25562;
E68F9B	63DB	8AB7	B4B9	3439	換	 &#25563;
E68F9C	63DC		8FC0BD	44403D	揜	 &#25564;
E68F9D	63DD				揝	 &#25565;
E68F9E	63DE				揞	 &#25566;
E68F9F	63DF				揟	 &#25567;
E68FA0	63E0		8FC0BE	44403E	揠	 &#25568;
E68FA1	63E1	88AC	B0AE	302E	握	 &#25569;
E68FA2	63E2				揢	 &#25570;
E68FA3	63E3	9D85	D9E5	5965	揣	 &#25571;
E68FA4	63E4				揤	 &#25572;
E68FA5	63E5		8FC0BF	44403F	揥	 &#25573;
E68FA6	63E6				揦	 &#25574;
E68FA7	63E7				揧	 &#25575;
E68FA8	63E8				揨	 &#25576;
E68FA9	63E9	9D82	D9E2	5962	揩	 &#25577;
E68FAA	63EA		8FC0C0	444040	揪	 &#25578;
E68FAB	63EB				揫	 &#25579;
E68FAC	63EC		8FC0C1	444041	揬	 &#25580;
E68FAD	63ED				揭	 &#25581;
E68FAE	63EE	8AF6	B4F8	3478	揮	 &#25582;
E68FAF	63EF				揯	 &#25583;
E68FB0	63F0				揰	 &#25584;
E68FB1	63F1				揱	 &#25585;
E68FB2	63F2		8FC0C2	444042	揲	 &#25586;
E68FB3	63F3		8FC0C3	444043	揳	 &#25587;
E68FB4	63F4	8987	B1E7	3167	援	 &#25588;
E68FB5	63F5	FAC9	FAAF	444044	揵	 &#25589;
E68FB6	63F6	9D88	D9E8	5968	揶	 &#25590;
E68FB7	63F7				揷	 &#25591;
E68FB8	63F8		8FC0C5	444045	揸	 &#25592;
E68FB9	63F9		8FC0C6	444046	揹	 &#25593;
E68FBA	63FA	9768	CDC9	4D49	揺	 &#25594;
E68FBB	63FB				揻	 &#25595;
E68FBC	63FC				揼	 &#25596;
E68FBD	63FD				揽	 &#25597;
E68FBE	63FE				揾	 &#25598;
E68FBF	63FF				揿	 &#25599;
E69080	6400				搀	 &#25600;
E69081	6401				搁	 &#25601;
E69082	6402				搂	 &#25602;
E69083	6403				搃	 &#25603;
E69084	6404				搄	 &#25604;
E69085	6405				搅	 &#25605;
E69086	6406	9D8C	D9EC	596C	搆	 &#25606;
E69087	6407				搇	 &#25607;
E69088	6408				搈	 &#25608;
E69089	6409		8FC0C7	444047	搉	 &#25609;
E6908A	640A		8FC0C8	444048	搊	 &#25610;
E6908B	640B				搋	 &#25611;
E6908C	640C				搌	 &#25612;
E6908D	640D	91B9	C2BB	423B	損	 &#25613;
E6908E	640E				搎	 &#25614;
E6908F	640F	9D93	D9F3	5973	搏	 &#25615;
E69090	6410		8FC0C9	444049	搐	 &#25616;
E69091	6411				搑	 &#25617;
E69092	6412		8FC0CA	44404A	搒	 &#25618;
E69093	6413	9D8D	D9ED	596D	搓	 &#25619;
E69094	6414		8FC0CB	44404B	搔	 &#25620;
E69095	6415				搕	 &#25621;
E69096	6416	9D8A	D9EA	596A	搖	 &#25622;
E69097	6417	9D91	D9F1	5971	搗	 &#25623;
E69098	6418		8FC0CC	44404C	搘	 &#25624;
E69099	6419				搙	 &#25625;
E6909A	641A				搚	 &#25626;
E6909B	641B				搛	 &#25627;
E6909C	641C	9D72	D9D3	5953	搜	 &#25628;
E6909D	641D				搝	 &#25629;
E6909E	641E		8FC0CD	44404D	搞	 &#25630;
E6909F	641F				搟	 &#25631;
E690A0	6420		8FC0CE	44404E	搠	 &#25632;
E690A1	6421				搡	 &#25633;
E690A2	6422		8FC0CF	44404F	搢	 &#25634;
E690A3	6423				搣	 &#25635;
E690A4	6424		8FC0D0	444050	搤	 &#25636;
E690A5	6425		8FC0D1	444051	搥	 &#25637;
E690A6	6426	9D8E	D9EE	596E	搦	 &#25638;
E690A7	6427				搧	 &#25639;
E690A8	6428	9D92	D9F2	5972	搨	 &#25640;
E690A9	6429		8FC0D2	444052	搩	 &#25641;
E690AA	642A		8FC0D3	444053	搪	 &#25642;
E690AB	642B				搫	 &#25643;
E690AC	642C	94C0	C8C2	4842	搬	 &#25644;
E690AD	642D	938B	C5EB	456B	搭	 &#25645;
E690AE	642E				搮	 &#25646;
E690AF	642F		8FC0D4	444054	搯	 &#25647;
E690B0	6430		8FC0D5	444055	搰	 &#25648;
E690B1	6431				搱	 &#25649;
E690B2	6432				搲	 &#25650;
E690B3	6433				搳	 &#25651;
E690B4	6434	9D8B	D9EB	596B	搴	 &#25652;
E690B5	6435		8FC0D6	444056	搵	 &#25653;
E690B6	6436	9D8F	D9EF	596F	搶	 &#25654;
E690B7	6437				搷	 &#25655;
E690B8	6438				搸	 &#25656;
E690B9	6439				搹	 &#25657;
E690BA	643A	8C67	B7C8	3748	携	 &#25658;
E690BB	643B				搻	 &#25659;
E690BC	643C				搼	 &#25660;
E690BD	643D		8FC0D7	444057	搽	 &#25661;
E690BE	643E	8DEF	BAF1	3A71	搾	 &#25662;
E690BF	643F		8FC0D8	444058	搿	 &#25663;
E69180	6440				摀	 &#25664;
E69181	6441				摁	 &#25665;
E69182	6442	90DB	C0DD	405D	摂	 &#25666;
E69183	6443				摃	 &#25667;
E69184	6444				摄	 &#25668;
E69185	6445				摅	 &#25669;
E69186	6446				摆	 &#25670;
E69187	6447				摇	 &#25671;
E69188	6448				摈	 &#25672;
E69189	6449				摉	 &#25673;
E6918A	644A				摊	 &#25674;
E6918B	644B		8FC0D9	444059	摋	 &#25675;
E6918C	644C				摌	 &#25676;
E6918D	644D				摍	 &#25677;
E6918E	644E	9D97	D9F7	5977	摎	 &#25678;
E6918F	644F		8FC0DA	44405A	摏	 &#25679;
E69190	6450				摐	 &#25680;
E69191	6451		8FC0DB	44405B	摑	 &#25681;
E69192	6452		8FC0DC	44405C	摒	 &#25682;
E69193	6453		8FC0DD	44405D	摓	 &#25683;
E69194	6454		8FC0DE	44405E	摔	 &#25684;
E69195	6455				摕	 &#25685;
E69196	6456				摖	 &#25686;
E69197	6457				摗	 &#25687;
E69198	6458	9345	C5A6	4526	摘	 &#25688;
E69199	6459				摙	 &#25689;
E6919A	645A		8FC0DF	44405F	摚	 &#25690;
E6919B	645B		8FC0E0	444060	摛	 &#25691;
E6919C	645C		8FC0E1	444061	摜	 &#25692;
E6919D	645D		8FC0E2	444062	摝	 &#25693;
E6919E	645E				摞	 &#25694;
E6919F	645F		8FC0E3	444063	摟	 &#25695;
E691A0	6460	FACA	FAB0	444064	摠	 &#25696;
E691A1	6461		8FC0E5	444065	摡	 &#25697;
E691A2	6462				摢	 &#25698;
E691A3	6463		8FC0E6	444066	摣	 &#25699;
E691A4	6464				摤	 &#25700;
E691A5	6465				摥	 &#25701;
E691A6	6466				摦	 &#25702;
E691A7	6467	9D94	D9F4	5974	摧	 &#25703;
E691A8	6468				摨	 &#25704;
E691A9	6469	9680	CBE0	4B60	摩	 &#25705;
E691AA	646A				摪	 &#25706;
E691AB	646B				摫	 &#25707;
E691AC	646C				摬	 &#25708;
E691AD	646D		8FC0E7	444067	摭	 &#25709;
E691AE	646E				摮	 &#25710;
E691AF	646F	9D95	D9F5	5975	摯	 &#25711;
E691B0	6470				摰	 &#25712;
E691B1	6471				摱	 &#25713;
E691B2	6472				摲	 &#25714;
E691B3	6473		8FC0E8	444068	摳	 &#25715;
E691B4	6474		8FC0E9	444069	摴	 &#25716;
E691B5	6475				摵	 &#25717;
E691B6	6476	9D96	D9F6	5976	摶	 &#25718;
E691B7	6477				摷	 &#25719;
E691B8	6478	96CC	CCCE	4C4E	摸	 &#25720;
E691B9	6479				摹	 &#25721;
E691BA	647A	90A0	C0A2	4022	摺	 &#25722;
E691BB	647B		8FC0EA	44406A	摻	 &#25723;
E691BC	647C				摼	 &#25724;
E691BD	647D		8FC0EB	44406B	摽	 &#25725;
E691BE	647E				摾	 &#25726;
E691BF	647F				摿	 &#25727;
E69280	6480				撀	 &#25728;
E69281	6481				撁	 &#25729;
E69282	6482				撂	 &#25730;
E69283	6483	8C82	B7E2	3762	撃	 &#25731;
E69284	6484				撄	 &#25732;
E69285	6485		8FC0EC	44406C	撅	 &#25733;
E69286	6486				撆	 &#25734;
E69287	6487		8FC0ED	44406D	撇	 &#25735;
E69288	6488	9D9D	D9FD	597D	撈	 &#25736;
E69289	6489				撉	 &#25737;
E6928A	648A				撊	 &#25738;
E6928B	648B				撋	 &#25739;
E6928C	648C				撌	 &#25740;
E6928D	648D				撍	 &#25741;
E6928E	648E				撎	 &#25742;
E6928F	648F		8FC0EE	44406E	撏	 &#25743;
E69290	6490		8FC0EF	44406F	撐	 &#25744;
E69291	6491		8FC0F0	444070	撑	 &#25745;
E69292	6492	8E54	BBB5	3B35	撒	 &#25746;
E69293	6493	9D9A	D9FA	597A	撓	 &#25747;
E69294	6494				撔	 &#25748;
E69295	6495	9D99	D9F9	5979	撕	 &#25749;
E69296	6496				撖	 &#25750;
E69297	6497				撗	 &#25751;
E69298	6498		8FC0F1	444071	撘	 &#25752;
E69299	6499		8FC0F2	444072	撙	 &#25753;
E6929A	649A	9451	C7B2	4732	撚	 &#25754;
E6929B	649B		8FC0F3	444073	撛	 &#25755;
E6929C	649C				撜	 &#25756;
E6929D	649D	FACB	FAB1	444074	撝	 &#25757;
E6929E	649E	93B3	C6B5	4635	撞	 &#25758;
E6929F	649F		8FC0F5	444075	撟	 &#25759;
E692A0	64A0				撠	 &#25760;
E692A1	64A1		8FC0F6	444076	撡	 &#25761;
E692A2	64A2				撢	 &#25762;
E692A3	64A3		8FC0F7	444077	撣	 &#25763;
E692A4	64A4	9350	C5B1	4531	撤	 &#25764;
E692A5	64A5	9D9B	D9FB	597B	撥	 &#25765;
E692A6	64A6		8FC0F8	444078	撦	 &#25766;
E692A7	64A7				撧	 &#25767;
E692A8	64A8		8FC0F9	444079	撨	 &#25768;
E692A9	64A9	9D9C	D9FC	597C	撩	 &#25769;
E692AA	64AA				撪	 &#25770;
E692AB	64AB	958F	C9EF	496F	撫	 &#25771;
E692AC	64AC		8FC0FA	44407A	撬	 &#25772;
E692AD	64AD	9464	C7C5	4745	播	 &#25773;
E692AE	64AE	8E42	BBA3	3B23	撮	 &#25774;
E692AF	64AF				撯	 &#25775;
E692B0	64B0	90EF	C0F1	4071	撰	 &#25776;
E692B1	64B1				撱	 &#25777;
E692B2	64B2	966F	CBD0	4B50	撲	 &#25778;
E692B3	64B3		8FC0FB	44407B	撳	 &#25779;
E692B4	64B4				撴	 &#25780;
E692B5	64B5				撵	 &#25781;
E692B6	64B6				撶	 &#25782;
E692B7	64B7				撷	 &#25783;
E692B8	64B8				撸	 &#25784;
E692B9	64B9	8A68	B3C9	3349	撹	 &#25785;
E692BA	64BA				撺	 &#25786;
E692BB	64BB	9DA3	DAA5	5A25	撻	 &#25787;
E692BC	64BC	9D9E	D9FE	597E	撼	 &#25788;
E692BD	64BD		8FC0FC	44407C	撽	 &#25789;
E692BE	64BE		8FC0FD	44407D	撾	 &#25790;
E692BF	64BF		8FC0FE	44407E	撿	 &#25791;
E69380	64C0				擀	 &#25792;
E69381	64C1	9769	CDCA	4D4A	擁	 &#25793;
E69382	64C2	9DA5	DAA7	5A27	擂	 &#25794;
E69383	64C3				擃	 &#25795;
E69384	64C4		8FC1A1	444121	擄	 &#25796;
E69385	64C5	9DA1	DAA3	5A23	擅	 &#25797;
E69386	64C6				擆	 &#25798;
E69387	64C7	9DA2	DAA4	5A24	擇	 &#25799;
E69388	64C8				擈	 &#25800;
E69389	64C9		8FC1A2	444122	擉	 &#25801;
E6938A	64CA		8FC1A3	444123	擊	 &#25802;
